Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.22      0.57     0.01  6421666     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::_Safe_iterator(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > > const&)
  1.22      0.58     0.01  6421666     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >::_Safe_iterator(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > > const&)
  1.22      0.59     0.01  5822717     0.00     0.00  std::__cxx1998::vector<main::Query, std::allocator<main::Query> >::size() const
  1.22      0.60     0.01  3007013     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >::base()
  1.22      0.61     0.01  2632646     0.00     0.00  main::{lambda(main::Query, main::Query)#2}::operator()(main::Query, main::Query) const
  1.22      0.62     0.01  2632646     0.00     0.00  main::{lambda(int, int)#1}::operator()(int, int) const
  1.22      0.63     0.01  1638334     0.00     0.00  __gnu_cxx::__normal_iterator<main::Entry*, std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> > >::__normal_iterator(main::Entry* const&)
  1.22      0.64     0.01  1544552     0.00     0.00  __gnu_cxx::__normal_iterator<main::Query const*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >::__normal_iterator(main::Query const* const&)
  1.22      0.65     0.01  1407621     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::_M_decrementable() const
  1.22      0.66     0.01  1407621     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >::_M_is_begin() const
  1.22      0.67     0.01  1195160     0.00     0.00  std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> >::empty() const
  1.22      0.68     0.01   696876     0.00     0.00  std::__cxx1998::vector<long long, std::allocator<long long> >::size() const
  1.22      0.69     0.01   575452     0.00     0.00  bool __gnu_debug::operator< <__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > > const&, __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > > const&)
  1.22      0.70     0.01   575452     0.00     0.00  bool __gnu_debug::operator< <__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > > const&, __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > > const&)
  1.22      0.71     0.01   278712     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<long long*, std::__cxx1998::vector<long long, std::allocator<long long> > >, std::__debug::vector<long long, std::allocator<long long> > >::operator*() const
  1.22      0.72     0.01   257956     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::operator=(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > > const&)
  1.22      0.73     0.01   209034     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::__cxx1998::vector<long long, std::allocator<long long> > >::operator++()
  1.22      0.74     0.01   139354     0.00     0.00  void std::__unguarded_linear_insert<__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Val_comp_iter<main::{lambda(int, int)#1}> >(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Val_comp_iter<main::{lambda(int, int)#1}>)
  1.22      0.75     0.01   107426     0.00     0.00  long long const& std::max<long long>(long long const&, long long const&)
  1.22      0.76     0.01    13783     0.00     0.02  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > > std::__unguarded_partition<__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(int, int)#1}> >(__gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(int, int)#1}>, __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(int, int)#1}>, __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(int, int)#1}>, __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(int, int)#1}>)
  1.22      0.77     0.01        1    10.00    10.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  1.22      0.78     0.01        1    10.00    20.00  std::__cxx1998::vector<main::Query, std::allocator<main::Query> >::~vector()
  1.22      0.79     0.01        1    10.00    10.00  __gnu_cxx::__enable_if<!std::__is_scalar<main::Query>::__value, main::Query*>::__type std::__fill_n_a<main::Query*, unsigned long, main::Query>(main::Query*, unsigned long, main::Query const&)
  1.22      0.80     0.01        1    10.00    75.54  void std::__unguarded_insertion_sort<__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(int, int)#1}> >(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(int, int)#1}>, __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(int, int)#1}>)
  1.22      0.81     0.01        1    10.00    10.00  void std::_Destroy<main::Query*, main::Query>(main::Query*, main::Query*, std::allocator<main::Query>&)
  0.61      0.81     0.01  6799727     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::_M_is_before_begin() const
